project,bug_id,revision,test_id,label,granularity,test_runtime_seconds,coverage_ratio,covered_line_count,changed_line_coverage_ratio,executed_file_count,executed_function_count,changed_file_coverage_ratio,meta_test_command,meta_single_test_target,meta_test_returncode,meta_coverage_returncode,meta_workspace
youtube-dl,1,fixed,test_match_str,0,test,,,,,,,,python -m unittest -q test.test_utils.TestUtil.test_match_str,test.test_utils.TestUtil.test_match_str,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_1_fixed
youtube-dl,1,buggy,test_match_str,1,test,0.013,0.2652007732185221,12073.0,0.0,479.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_match_str,test.test_utils.TestUtil.test_match_str,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_1_buggy
youtube-dl,2,fixed,test_parse_mpd_formats,0,test,0.055,0.275579715131081,12015.0,0.0,485.0,0.0,0.0,python -m unittest -q test.test_InfoExtractor.TestInfoExtractor.test_parse_mpd_formats,test.test_InfoExtractor.TestInfoExtractor.test_parse_mpd_formats,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_2_fixed
youtube-dl,2,buggy,test_parse_mpd_formats,1,test,0.08,0.2747517372657844,11980.0,0.0,485.0,0.0,0.0,python -m unittest -q test.test_InfoExtractor.TestInfoExtractor.test_parse_mpd_formats,test.test_InfoExtractor.TestInfoExtractor.test_parse_mpd_formats,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_2_buggy
youtube-dl,3,fixed,test_unescape_html,0,test,0.001,0.2680475032728633,11466.0,0.0,472.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_unescape_html,test.test_utils.TestUtil.test_unescape_html,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_3_fixed
youtube-dl,3,buggy,test_unescape_html,1,test,0.01,0.2680007480830372,11464.0,0.0,472.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_unescape_html,test.test_utils.TestUtil.test_unescape_html,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_3_buggy
youtube-dl,4,fixed,test_call,0,test,0.004,0.275422268183385,10387.0,0.0,447.0,0.0,0.0,python -m unittest -q test.test_jsinterp.TestJSInterpreter.test_call,test.test_jsinterp.TestJSInterpreter.test_call,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_4_fixed
youtube-dl,4,buggy,test_call,1,test,0.033,0.2756609126826293,10396.0,0.0,447.0,0.0,0.0,python -m unittest -q test.test_jsinterp.TestJSInterpreter.test_call,test.test_jsinterp.TestJSInterpreter.test_call,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_4_buggy
youtube-dl,5,fixed,test_unified_timestamps,0,test,0.014,0.2736926968947207,9845.0,0.0,435.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_unified_timestamps,test.test_utils.TestUtil.test_unified_timestamps,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_5_fixed
youtube-dl,5,buggy,test_unified_timestamps,1,test,0.033,0.2736926968947207,9845.0,0.0,435.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_unified_timestamps,test.test_utils.TestUtil.test_unified_timestamps,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_5_buggy
youtube-dl,6,fixed,test_parse_dfxp_time_expr,0,test,0.0,0.2747226731601732,8123.0,0.0,396.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_parse_dfxp_time_expr,test.test_utils.TestUtil.test_parse_dfxp_time_expr,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_6_fixed
youtube-dl,6,buggy,test_parse_dfxp_time_expr,1,test,0.008,0.2743970503670128,8112.0,0.0,396.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_parse_dfxp_time_expr,test.test_utils.TestUtil.test_parse_dfxp_time_expr,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_6_buggy
youtube-dl,7,fixed,test_js_to_json_realworld,0,test,0.001,0.2778049291349577,7958.0,0.0,393.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_js_to_json_realworld,test.test_utils.TestUtil.test_js_to_json_realworld,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_7_fixed
youtube-dl,7,buggy,test_js_to_json_realworld,1,test,0.011,0.2777002024715492,7955.0,0.0,393.0,0.0,0.0,python -m unittest -q test.test_utils.TestUtil.test_js_to_json_realworld,test.test_utils.TestUtil.test_js_to_json_realworld,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_7_buggy
youtube-dl,8,fixed,test_youtube_format_selection,0,test,2.454,0.2931222502162223,7795.0,0.0,387.0,0.0,0.0,python -m unittest -q test.test_YoutubeDL.TestFormatSelection.test_youtube_format_selection,test.test_YoutubeDL.TestFormatSelection.test_youtube_format_selection,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_8_fixed
youtube-dl,8,buggy,test_youtube_format_selection,1,test,0.089,0.291080694893585,7741.0,0.0,387.0,0.0,0.0,python -m unittest -q test.test_YoutubeDL.TestFormatSelection.test_youtube_format_selection,test.test_YoutubeDL.TestFormatSelection.test_youtube_format_selection,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\youtube-dl_8_buggy
httpie,1,fixed,test_unique_filename,0,test,,,,,,,,pytest tests/test_downloads.py::TestDownloadUtils::test_unique_filename,tests/test_downloads.py::TestDownloadUtils::test_unique_filename,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_1_fixed
httpie,1,buggy,test_unique_filename,1,test,,,,,,,,pytest tests/test_downloads.py::TestDownloadUtils::test_unique_filename,tests/test_downloads.py::TestDownloadUtils::test_unique_filename,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_1_buggy
httpie,2,fixed,test_max_redirects,0,test,,,,,,,,pytest tests/test_redirects.py::TestRedirects::test_max_redirects,tests/test_redirects.py::TestRedirects::test_max_redirects,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_2_fixed
httpie,2,buggy,test_max_redirects,1,test,,,,,,,,pytest tests/test_redirects.py::TestRedirects::test_max_redirects,tests/test_redirects.py::TestRedirects::test_max_redirects,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_2_buggy
httpie,3,fixed,test_download_in_session,0,test,,,,,,,,pytest tests/test_sessions.py::TestSession::test_download_in_session,tests/test_sessions.py::TestSession::test_download_in_session,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_3_fixed
httpie,3,buggy,test_download_in_session,1,test,,,,,,,,pytest tests/test_sessions.py::TestSession::test_download_in_session,tests/test_sessions.py::TestSession::test_download_in_session,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_3_buggy
httpie,4,fixed,test_Host_header_overwrite,0,test,,,,,,,,pytest tests/test_regressions.py::test_Host_header_overwrite,tests/test_regressions.py::test_Host_header_overwrite,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_4_fixed
httpie,4,buggy,test_Host_header_overwrite,1,test,,,,,,,,pytest tests/test_regressions.py::test_Host_header_overwrite,tests/test_regressions.py::test_Host_header_overwrite,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_4_buggy
httpie,5,fixed,test_escape_longsep,0,test,,,,,,,,pytest tests/tests.py::TestItemParsing::test_escape_longsep,tests/tests.py::TestItemParsing::test_escape_longsep,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_5_fixed
httpie,5,buggy,test_escape_longsep,1,test,,,,,,,,pytest tests/tests.py::TestItemParsing::test_escape_longsep,tests/tests.py::TestItemParsing::test_escape_longsep,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\httpie_5_buggy
cookiecutter,1,fixed,test_generate_context_decodes_non_ascii_chars,0,test,,,,,,,,tox tests/test_generate_context.py::test_generate_context_decodes_non_ascii_chars,tests/test_generate_context.py::test_generate_context_decodes_non_ascii_chars,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_1_fixed
cookiecutter,1,buggy,test_generate_context_decodes_non_ascii_chars,1,test,,,,,,,,tox tests/test_generate_context.py::test_generate_context_decodes_non_ascii_chars,tests/test_generate_context.py::test_generate_context_decodes_non_ascii_chars,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_1_buggy
cookiecutter,2,fixed,test_find_hook,0,test,,,,,,,,tox tests/test_hooks.py::TestFindHooks::test_find_hook,tests/test_hooks.py::TestFindHooks::test_find_hook,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_2_fixed
cookiecutter,2,fixed,test_run_hook,0,test,,,,,,,,tox tests/test_hooks.py::TestExternalHooks::test_run_hook,tests/test_hooks.py::TestExternalHooks::test_run_hook,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_2_fixed
cookiecutter,2,buggy,test_find_hook,1,test,,,,,,,,tox tests/test_hooks.py::TestFindHooks::test_find_hook,tests/test_hooks.py::TestFindHooks::test_find_hook,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_2_buggy
cookiecutter,2,buggy,test_run_hook,1,test,,,,,,,,tox tests/test_hooks.py::TestExternalHooks::test_run_hook,tests/test_hooks.py::TestExternalHooks::test_run_hook,0,0,C:\Users\chenj\Desktop\MITACS\BugsInPy\workspace\cookiecutter_2_buggy
